"REF_DATE","GEO","DGUID","Farm land and buildings","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","257","","","","0"
"1977","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","296","","","","0"
"1978","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","351","","","","0"
"1979","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","434","","","","0"
"1980","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","547","","","","0"
"1981","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","615","","","","0"
"1982","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","614","","","","0"
"1983","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","586","","","","0"
"1984","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","558","","","","0"
"1985","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","517","","","","0"
"1986","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","478","","","","0"
"1987","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","456","","","","0"
"1988","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","464","","","","0"
"1989","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","518","","","","0"
"1990","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","555","","","","0"
"1991","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","560","","","","0"
"1992","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","547","","","","0"
"1993","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","555","","","","0"
"1994","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","584","","","","0"
"1995","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","634","","","","0"
"1996","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","689","","","","0"
"1997","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","758","","","","0"
"1998","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","796","","","","0"
"1999","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","822","","","","0"
"2000","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","844","","","","0"
"2001","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","862","","","","0"
"2002","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","918","","","","0"
"2003","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","976","","","","0"
"2004","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1038","","","","0"
"2005","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1107","","","","0"
"2006","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1184","","","","0"
"2007","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1271","","","","0"
"2008","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1421","","","","0"
"2009","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1512","","","","0"
"2010","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1608","","","","0"
"2011","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1724","","","","0"
"2012","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","1899","","","","0"
"2013","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","2170","","","","0"
"2014","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","2367","","","","0"
"2015","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","2550","","","","0"
"2016","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","2696","","","","0"
"2017","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","2903","","","","0"
"2018","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","3072","","","","0"
"2019","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","3245","","","","0"
"1976","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","735","","","","0"
"1977","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","720","","","","0"
"1978","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","800","","","","0"
"1979","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","911","","","","0"
"1980","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1035","","","","0"
"1981","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1133","","","","0"
"1982","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1027","","","","0"
"1983","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","998","","","","0"
"1984","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","938","","","","0"
"1985","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","911","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","868","","","","0"
"1987","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","914","","","","0"
"1988","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","964","","","","0"
"1989","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1016","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1071","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1136","","","","0"
"1992","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1150","","","","0"
"1993","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1164","","","","0"
"1994","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1203","","","","0"
"1995","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1243","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1286","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1318","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1359","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1397","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1426","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1455","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1539","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1627","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1720","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","1854","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2019","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2216","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2317","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2557","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2688","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2811","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2859","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","2908","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","3011","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","3178","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","3416","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","3597","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","4332","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","5022","","","","0"
"1976","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","298","","","","0"
"1977","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","327","","","","0"
"1978","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","401","","","","0"
"1979","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","518","","","","0"
"1980","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","584","","","","0"
"1981","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","685","","","","0"
"1982","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","655","","","","0"
"1983","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","695","","","","0"
"1984","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","702","","","","0"
"1985","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","745","","","","0"
"1986","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","727","","","","0"
"1987","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","747","","","","0"
"1988","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","767","","","","0"
"1989","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","835","","","","0"
"1990","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","999","","","","0"
"1991","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1026","","","","0"
"1992","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1110","","","","0"
"1993","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1142","","","","0"
"1994","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1307","","","","0"
"1995","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1545","","","","0"
"1996","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1636","","","","0"
"1997","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1718","","","","0"
"1998","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1771","","","","0"
"1999","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1825","","","","0"
"2000","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1849","","","","0"
"2001","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1859","","","","0"
"2002","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1903","","","","0"
"2003","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","1953","","","","0"
"2004","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2019","","","","0"
"2005","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2066","","","","0"
"2006","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2115","","","","0"
"2007","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2140","","","","0"
"2008","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2099","","","","0"
"2009","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2100","","","","0"
"2010","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2125","","","","0"
"2011","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2205","","","","0"
"2012","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2309","","","","0"
"2013","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2478","","","","0"
"2014","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2620","","","","0"
"2015","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","2809","","","","0"
"2016","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","3054","","","","0"
"2017","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","3277","","","","0"
"2018","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","3422","","","","0"
"2019","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","3905","","","","0"
"1976","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","263","","","","0"
"1977","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","279","","","","0"
"1978","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","325","","","","0"
"1979","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","383","","","","0"
"1980","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","503","","","","0"
"1981","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","550","","","","0"
"1982","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","552","","","","0"
"1983","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","584","","","","0"
"1984","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","592","","","","0"
"1985","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","614","","","","0"
"1986","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","637","","","","0"
"1987","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","666","","","","0"
"1988","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","696","","","","0"
"1989","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","757","","","","0"
"1990","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","820","","","","0"
"1991","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","816","","","","0"
"1992","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","836","","","","0"
"1993","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","855","","","","0"
"1994","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","875","","","","0"
"1995","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","896","","","","0"
"1996","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","939","","","","0"
"1997","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","976","","","","0"
"1998","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","1034","","","","0"
"1999","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","1082","","","","0"
"2000","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","1120","","","","0"
"2001","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","1154","","","","0"
"2002","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","1206","","","","0"
"2003","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","1250","","","","0"
"2004","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","1300","","","","0"
"2005","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","1345","","","","0"
"2006","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","1402","","","","0"
"2007","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","1409","","","","0"
"2008","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","1503","","","","0"
"2009","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","1606","","","","0"
"2010","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","1663","","","","0"
"2011","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","1709","","","","0"
"2012","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","1786","","","","0"
"2013","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","1891","","","","0"
"2014","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","1939","","","","0"
"2015","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","2012","","","","0"
"2016","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","2096","","","","0"
"2017","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","2231","","","","0"
"2018","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","2298","","","","0"
"2019","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","2318","","","","0"
"1976","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","202","","","","0"
"1977","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","216","","","","0"
"1978","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","257","","","","0"
"1979","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","295","","","","0"
"1980","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","339","","","","0"
"1981","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","407","","","","0"
"1982","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","410","","","","0"
"1983","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","435","","","","0"
"1984","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","457","","","","0"
"1985","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","485","","","","0"
"1986","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","484","","","","0"
"1987","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","499","","","","0"
"1988","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","515","","","","0"
"1989","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","542","","","","0"
"1990","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","595","","","","0"
"1991","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","645","","","","0"
"1992","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","659","","","","0"
"1993","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","674","","","","0"
"1994","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","690","","","","0"
"1995","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","754","","","","0"
"1996","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","815","","","","0"
"1997","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","909","","","","0"
"1998","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","978","","","","0"
"1999","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","1045","","","","0"
"2000","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","1082","","","","0"
"2001","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","1111","","","","0"
"2002","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","1156","","","","0"
"2003","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","1206","","","","0"
"2004","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","1282","","","","0"
"2005","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","1322","","","","0"
"2006","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","1373","","","","0"
"2007","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","1433","","","","0"
"2008","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","1410","","","","0"
"2009","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","1568","","","","0"
"2010","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","1621","","","","0"
"2011","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","1673","","","","0"
"2012","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","1734","","","","0"
"2013","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","1829","","","","0"
"2014","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","1981","","","","0"
"2015","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","2081","","","","0"
"2016","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","2157","","","","0"
"2017","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","2228","","","","0"
"2018","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","2335","","","","0"
"2019","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","2584","","","","0"
"1976","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","274","","","","0"
"1977","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","347","","","","0"
"1978","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","416","","","","0"
"1979","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","493","","","","0"
"1980","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","593","","","","0"
"1981","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","666","","","","0"
"1982","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","690","","","","0"
"1983","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","707","","","","0"
"1984","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","690","","","","0"
"1985","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","659","","","","0"
"1986","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","662","","","","0"
"1987","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","697","","","","0"
"1988","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","727","","","","0"
"1989","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","781","","","","0"
"1990","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","859","","","","0"
"1991","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","918","","","","0"
